model,k,D
openai-api/local/qwen/qwen2-72b-instruct,5,-0.009859943977591046
openai-api/local/qwen/qwen2-72b-instruct,6,0.0013071895424836555
openai-api/local/qwen/qwen2-72b-instruct,7,-0.01030812324929975
openai-api/local/qwen/qwen2-72b-instruct,8,-0.02401960784313728
openai-api/local/qwen/qwen2-72b-instruct,9,-0.013943355119825696
openai-api/local/qwen/qwen2-72b-instruct,10,7.843137254901489e-4
openai-api/local/qwen/qwen2-72b-instruct,11,-0.035650623885918
openai-api/local/qwen/qwen2-7b-instruct,1,0.11158645276292334
openai-api/local/qwen/qwen2-7b-instruct,2,0.12274509803921563
openai-api/local/qwen/qwen2-7b-instruct,3,0.10675381263616557
openai-api/local/qwen/qwen2-7b-instruct,4,0.1063725490196078
openai-api/local/qwen/qwen2-7b-instruct,5,0.05165266106442579
openai-api/local/qwen/qwen2-7b-instruct,6,0.0398692810457516
openai-api/local/qwen/qwen2-7b-instruct,7,0.053221288515406084
openai-api/local/qwen/qwen2-7b-instruct,8,0.021568627450980427
openai-api/local/qwen/qwen2-7b-instruct,9,-0.017864923747276662
openai-api/local/qwen/qwen2-7b-instruct,10,-0.04274509803921567
openai-api/local/qwen/qwen2-7b-instruct,11,-0.03885918003565059
openai/gpt-4o-mini,1,-0.03244206773618541
openai/gpt-4o-mini,2,0.004313725490196041
openai/gpt-4o-mini,3,0.019607843137254832
openai/gpt-4o-mini,4,0.03333333333333344
openai/gpt-4o-mini,5,0.02565826330532217
openai/gpt-4o-mini,6,0.03725490196078429
openai/gpt-4o-mini,7,0.07383753501400558
openai/gpt-4o-mini,8,0.06960784313725499
openai/gpt-4o-mini,9,0.06928104575163396
openai/gpt-4o-mini,10,0.07568627450980403
openai/gpt-4o-mini,11,-0.04028520499108734
openai-api/local/meta-llama/llama-3.1-8b-instruct,1,0.07771836007130128
openai-api/local/meta-llama/llama-3.1-8b-instruct,2,0.08549019607843134
openai-api/local/meta-llama/llama-3.1-8b-instruct,3,0.065359477124183
openai-api/local/meta-llama/llama-3.1-8b-instruct,4,0.10686274509803928
openai-api/local/meta-llama/llama-3.1-8b-instruct,5,-0.05669467787114846
openai-api/local/meta-llama/llama-3.1-8b-instruct,6,-0.009150326797385588
openai-api/local/meta-llama/llama-3.1-8b-instruct,7,-0.007843137254901933
openai-api/local/meta-llama/llama-3.1-8b-instruct,8,0.01813725490196083
openai-api/local/meta-llama/llama-3.1-8b-instruct,9,0.05315904139433558
openai-api/local/meta-llama/llama-3.1-8b-instruct,10,0.03450980392156877
openai-api/local/meta-llama/llama-3.1-8b-instruct,11,-0.07771836007130128
openai/gpt-4o-2024-08-06,1,-0.0060606060606061
openai/gpt-4o-2024-08-06,2,-0.00666666666666671
openai/gpt-4o-2024-08-06,3,-0.007407407407407418
openai/gpt-4o-2024-08-06,4,0.016666666666666607
openai/gpt-4o-2024-08-06,5,0.036190476190476106
openai/gpt-4o-2024-08-06,6,0.05555555555555558
openai/gpt-4o-2024-08-06,7,0.0323809523809524
openai/gpt-4o-2024-08-06,8,0.008333333333333304
openai/gpt-4o-2024-08-06,9,0.007407407407407418
openai/gpt-4o-2024-08-06,10,0.046666666666666634
openai/gpt-4o-2024-08-06,11,-0.06666666666666665
openai-api/local/qwen/qwen2.5-72b-instruct,1,-0.012121212121212088
openai-api/local/qwen/qwen2.5-72b-instruct,2,0.026666666666666616
openai-api/local/qwen/qwen2.5-72b-instruct,3,0.014814814814814836
openai-api/local/qwen/qwen2.5-72b-instruct,4,0.033333333333333326
openai-api/local/qwen/qwen2.5-72b-instruct,5,0.049523809523809526
openai-api/local/qwen/qwen2.5-72b-instruct,6,0.0444444444444444
openai-api/local/qwen/qwen2.5-72b-instruct,7,0.06476190476190469
openai-api/local/qwen/qwen2.5-72b-instruct,8,0.04166666666666663
openai-api/local/qwen/qwen2.5-72b-instruct,9,0.04444444444444451
openai-api/local/qwen/qwen2.5-72b-instruct,10,0.053333333333333344
openai-api/local/qwen/qwen2.5-72b-instruct,11,-0.06060606060606055
openai-api/local/qwen/qwen2.5-7b-instruct,1,0.1130124777183601
openai-api/local/qwen/qwen2.5-7b-instruct,2,0.16431372549019607
openai-api/local/qwen/qwen2.5-7b-instruct,3,-0.010021786492374729
openai-api/local/qwen/qwen2.5-7b-instruct,4,0.05833333333333335
openai-api/local/qwen/qwen2.5-7b-instruct,5,0.09422969187675068
openai-api/local/qwen/qwen2.5-7b-instruct,6,0.10392156862745094
openai-api/local/qwen/qwen2.5-7b-instruct,7,0.07383753501400558
openai-api/local/qwen/qwen2.5-7b-instruct,8,0.14460784313725494
openai-api/local/qwen/qwen2.5-7b-instruct,9,0.15816993464052287
openai-api/local/qwen/qwen2.5-7b-instruct,10,-0.004313725490196041
openai-api/local/qwen/qwen2.5-7b-instruct,11,0.03244206773618541
openai-api/local/meta-llama/llama-3.3-70b-instruct,1,-0.036363636363636376
openai-api/local/meta-llama/llama-3.3-70b-instruct,2,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,3,-0.014814814814814725
openai-api/local/meta-llama/llama-3.3-70b-instruct,4,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,5,0.011428571428571455
openai-api/local/meta-llama/llama-3.3-70b-instruct,6,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,7,0.011428571428571455
openai-api/local/meta-llama/llama-3.3-70b-instruct,8,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,9,-0.014814814814814725
openai-api/local/meta-llama/llama-3.3-70b-instruct,10,0
openai-api/local/meta-llama/llama-3.3-70b-instruct,11,-0.036363636363636376
openai/o1,1,-0.012834224598930466
openai/o1,2,-0.014117647058823568
openai/o1,3,-0.015686274509803866
openai/o1,4,-0.014705882352941124
openai/o1,5,0.005378151260504227
openai/o1,6,-0.0209150326797386
openai/o1,7,-0.0026890756302521135
openai/o1,8,0.01764705882352935
openai/o1,9,0.015686274509803866
openai/o1,10,0.05411764705882349
openai/o1,11,-0.059893048128342286
openai/o3-mini,1,0.0295900178253119
openai/o3-mini,2,0.03254901960784318
openai/o3-mini,3,-0.023093681917211284
openai/o3-mini,4,-0.0063725490196078205
openai/o3-mini,5,0.02633053221288517
openai/o3-mini,6,0.012418300653594727
openai/o3-mini,7,0.02207282913165265
openai/o3-mini,8,0.009313725490196045
openai/o3-mini,9,-0.0065359477124182774
openai/o3-mini,10,0.047450980392156894
openai/o3-mini,11,-0.10231729055258465
openai/o4-mini,1,0.01746880570409981
openai/o4-mini,2,-0.020784313725490167
openai/o4-mini,3,-0.03790849673202612
openai/o4-mini,4,-9.803921568626306e-4
openai/o4-mini,5,0.007282913165266192
openai/o4-mini,6,0.012418300653594838
openai/o4-mini,7,0.04112044817927174
openai/o4-mini,8,0.025980392156862764
openai/o4-mini,9,0.03790849673202623
openai/o4-mini,10,0.10078431372549024
openai/o4-mini,11,-0.01746880570409981
openai-api/local/qwen/qwen3-8b,1,-0.025668449197860932
openai-api/local/qwen/qwen3-8b,2,0.0117647058823529
openai-api/local/qwen/qwen3-8b,3,0.02788671023965139
openai-api/local/qwen/qwen3-8b,4,0.01764705882352946
openai-api/local/qwen/qwen3-8b,5,0.010756302521008343
openai-api/local/qwen/qwen3-8b,6,0.024836601307189565
openai-api/local/qwen/qwen3-8b,7,0.04033613445378148
openai-api/local/qwen/qwen3-8b,8,0.06029411764705872
openai-api/local/qwen/qwen3-8b,9,0.061002178649237515
openai-api/local/qwen/qwen3-8b,10,0.06823529411764706
openai-api/local/qwen/qwen3-8b,11,-0.04705882352941171
anthropic/claude-sonnet-4-5-20250929,1,0.0060606060606061
anthropic/claude-sonnet-4-5-20250929,2,0.00666666666666671
anthropic/claude-sonnet-4-5-20250929,3,0.007407407407407418
anthropic/claude-sonnet-4-5-20250929,4,0.008333333333333304
anthropic/claude-sonnet-4-5-20250929,5,0.00952380952380949
anthropic/claude-sonnet-4-5-20250929,6,0.011111111111111072
anthropic/claude-sonnet-4-5-20250929,7,0.013333333333333308
anthropic/claude-sonnet-4-5-20250929,8,0.016666666666666607
anthropic/claude-sonnet-4-5-20250929,9,0.022222222222222254
anthropic/claude-sonnet-4-5-20250929,10,0.033333333333333326
anthropic/claude-sonnet-4-5-20250929,11,-0.0060606060606061
anthropic/claude-haiku-4-5-20251001,1,0.042424242424242364
anthropic/claude-haiku-4-5-20251001,2,0.00666666666666671
anthropic/claude-haiku-4-5-20251001,3,-0.007407407407407418
anthropic/claude-haiku-4-5-20251001,4,0.008333333333333304
anthropic/claude-haiku-4-5-20251001,5,0.020952380952380945
anthropic/claude-haiku-4-5-20251001,6,0.033333333333333326
anthropic/claude-haiku-4-5-20251001,7,0.04761904761904756
anthropic/claude-haiku-4-5-20251001,8,0.04166666666666663
anthropic/claude-haiku-4-5-20251001,9,0.03703703703703698
anthropic/claude-haiku-4-5-20251001,10,0.033333333333333326
anthropic/claude-haiku-4-5-20251001,11,-0.042424242424242364
anthropic/claude-opus-4-5-20251101,1,0.030303030303030276
anthropic/claude-opus-4-5-20251101,2,-0.00666666666666671
anthropic/claude-opus-4-5-20251101,3,-0.051851851851851816
anthropic/claude-opus-4-5-20251101,4,-0.03333333333333344
anthropic/claude-opus-4-5-20251101,5,-0.020952380952380945
anthropic/claude-opus-4-5-20251101,6,-0.011111111111111072
anthropic/claude-opus-4-5-20251101,7,-0.0019047619047619646
anthropic/claude-opus-4-5-20251101,8,-0.01666666666666672
anthropic/claude-opus-4-5-20251101,9,-0.007407407407407418
anthropic/claude-opus-4-5-20251101,10,0.00666666666666671
anthropic/claude-opus-4-5-20251101,11,-0.030303030303030276
anthropic/claude-opus-4-6,1,0.0060606060606061
anthropic/claude-opus-4-6,2,0.00666666666666671
anthropic/claude-opus-4-6,3,0.007407407407407418
anthropic/claude-opus-4-6,4,0.008333333333333304
anthropic/claude-opus-4-6,5,0.00952380952380949
anthropic/claude-opus-4-6,6,0.011111111111111072
anthropic/claude-opus-4-6,7,0.013333333333333308
anthropic/claude-opus-4-6,8,-0.008333333333333304
anthropic/claude-opus-4-6,9,-0.007407407407407418
anthropic/claude-opus-4-6,10,-0.00666666666666671
anthropic/claude-opus-4-6,11,-0.0060606060606061
anthropic/claude-opus-4-7,1,0.0060606060606061
anthropic/claude-opus-4-7,2,0.00666666666666671
anthropic/claude-opus-4-7,3,0.007407407407407418
anthropic/claude-opus-4-7,4,0.008333333333333304
anthropic/claude-opus-4-7,5,0.00952380952380949
anthropic/claude-opus-4-7,6,0.011111111111111072
anthropic/claude-opus-4-7,7,0.013333333333333308
anthropic/claude-opus-4-7,8,0.016666666666666607
anthropic/claude-opus-4-7,9,0.022222222222222254
anthropic/claude-opus-4-7,10,0.033333333333333326
anthropic/claude-opus-4-7,11,-0.0060606060606061
anthropic/claude-fable-5,1,0
anthropic/claude-fable-5,2,0
anthropic/claude-fable-5,3,0
anthropic/claude-fable-5,4,0
anthropic/claude-fable-5,5,0
anthropic/claude-fable-5,6,0
anthropic/claude-fable-5,7,0
anthropic/claude-fable-5,8,0
anthropic/claude-fable-5,9,0
anthropic/claude-fable-5,10,0
anthropic/claude-fable-5,11,0
anthropic/claude-sonnet-5,1,0.0060606060606061
anthropic/claude-sonnet-5,2,0.00666666666666671
anthropic/claude-sonnet-5,3,0.007407407407407418
anthropic/claude-sonnet-5,4,0.008333333333333304
anthropic/claude-sonnet-5,5,0.00952380952380949
anthropic/claude-sonnet-5,6,0.011111111111111072
anthropic/claude-sonnet-5,7,0.013333333333333308
anthropic/claude-sonnet-5,8,0.016666666666666607
anthropic/claude-sonnet-5,9,0.022222222222222254
anthropic/claude-sonnet-5,10,0.033333333333333326
anthropic/claude-sonnet-5,11,-0.0060606060606061
anthropic/claude-opus-4-8,1,0.0060606060606061
anthropic/claude-opus-4-8,2,0.00666666666666671
anthropic/claude-opus-4-8,3,0.007407407407407418
anthropic/claude-opus-4-8,4,0.008333333333333304
anthropic/claude-opus-4-8,5,0.00952380952380949
anthropic/claude-opus-4-8,6,0.011111111111111072
anthropic/claude-opus-4-8,7,0.013333333333333308
anthropic/claude-opus-4-8,8,0.016666666666666607
anthropic/claude-opus-4-8,9,0.022222222222222254
anthropic/claude-opus-4-8,10,0.033333333333333326
anthropic/claude-opus-4-8,11,-0.0060606060606061
