model,task,created,log_file,dimension,accuracy,stderr
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,Emotion Recognition,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,Faux Pas Detection,0.6,0.24494897427831783
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,First-Order False Belief,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,Hidden Emotion (Appearance vs. Reality),1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,Intention vs. Accident,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,Irony,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,Knowledge Access / Ignorance,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,Sarcasm,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,Second-Order False Belief,0.8,0.19999999999999998
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T18:40:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-52-00-00_tom-12dim-freeresponse_9uVLnkt5L7KXfi7hqhDbry.eval,White Lies / Prosocial Deception,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,ALL (overall),0.95,0.028374015326751195
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,Diverse Beliefs,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,Diverse Desires,0.8,0.20000000000000004
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,Emotion Recognition,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,Faux Pas Detection,0.8,0.20000000000000004
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,First-Order False Belief,0.8,0.19999999999999998
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,Hidden Emotion (Appearance vs. Reality),1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,Intention vs. Accident,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,Irony,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,Knowledge Access / Ignorance,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,Sarcasm,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,Second-Order False Belief,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T18:38:52+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-38-52-00-00_tom-12dim-freeresponse_XAVt4WQqNWF64qwTQFosiG.eval,White Lies / Prosocial Deception,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,ALL (overall),0.9833333333333333,0.016666666666666666
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,Diverse Beliefs,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,Diverse Desires,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,Emotion Recognition,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,Faux Pas Detection,0.8,0.20000000000000004
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,First-Order False Belief,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,Hidden Emotion (Appearance vs. Reality),1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,Intention vs. Accident,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,Irony,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,Knowledge Access / Ignorance,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,Sarcasm,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,Second-Order False Belief,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T18:43:45+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-43-45-00-00_tom-12dim-freeresponse_7tMmFSAWSVgGuBTNQjcWki.eval,White Lies / Prosocial Deception,1.0,0.0
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,ALL (overall),0.8,0.05207556439232955
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,Diverse Beliefs,0.8,0.19999999999999998
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,Diverse Desires,0.8,0.20000000000000004
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,Emotion Recognition,1.0,0.0
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,Faux Pas Detection,0.4,0.24494897427831783
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,First-Order False Belief,0.4,0.24494897427831783
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,Hidden Emotion (Appearance vs. Reality),1.0,0.0
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,Intention vs. Accident,0.8,0.19999999999999998
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,Irony,1.0,0.0
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,Knowledge Access / Ignorance,1.0,0.0
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,Sarcasm,0.8,0.20000000000000004
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,Second-Order False Belief,0.6,0.24494897427831783
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T18:12:32+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-12-32-00-00_tom-12dim-freeresponse_dTzwsW5pG2Xghj4utxP2bG.eval,White Lies / Prosocial Deception,1.0,0.0
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,ALL (overall),0.8666666666666667,0.044255719836307654
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,Diverse Beliefs,0.8,0.19999999999999998
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,Diverse Desires,1.0,0.0
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,Emotion Recognition,0.8,0.19999999999999998
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,Faux Pas Detection,0.6,0.24494897427831783
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,First-Order False Belief,0.6,0.24494897427831783
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,Hidden Emotion (Appearance vs. Reality),1.0,0.0
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,Intention vs. Accident,1.0,0.0
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,Irony,1.0,0.0
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,Knowledge Access / Ignorance,0.8,0.19999999999999998
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,Sarcasm,1.0,0.0
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,Second-Order False Belief,0.8,0.19999999999999998
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T18:40:18+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-18-00-00_tom-12dim-freeresponse_La4UUYmkjhS8kqvbCNp9eS.eval,White Lies / Prosocial Deception,1.0,0.0
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T18:40:31+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-31-00-00_tom-12dim-freeresponse_3o7D7BVAV2ThEWt6Lfn3AS.eval,ALL (overall),0.8333333333333334,0.0485185424782985
openrouter/google/gemma-3-27b-it,tom_12dim_freeresponse,2026-07-14T18:40:31+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T18-40-31-00-00_tom-12dim-freeresponse_3o7D7BVAV2ThEWt6Lfn3AS.eval,Diverse Beliefs,0.8,0.19999999999999998
